md5sum,document_name,theme,type,author,author_type,date,language,link,pdf_link,validation_status,data_error_type,party,translation,version,status,source,topics
a448b636e51fe717872f84e5831dcf65,Facilitative sharing of views record - Nigeria,Facilitative sharing of views record - Nigeria,Facilitative sharing of views reports (FSVR),UNFCCC Authors,,2019-08-06T12:00:00Z,English,/documents/199216,https://unfccc.int/sites/default/files/resource/FSVR1_NGA.pdf,not validated,,,,,,UNFCCC Information Portal,"Biennial update reports BUR,Means of implementation,Mitigation"
5edba59dff21a4e5fb64738e462b7595,Technical analysis of the third biennial update report of Lebanon submitted on 13 October 2019. Summary report by the team of technical experts,"Biennial update reports (BUR), National communications (NC), International consultations and analysis (ICA), Means of implementation, Mitigation",Technical analysis summary report (TASR),UNFCCC. Secretariat,,2020-10-07T12:00:00Z,English only,/documents/254384,https://unfccc.int/sites/default/files/resource/tasr2020_LBN.pdf,not validated,,Lebanon,,,,UNFCCC Information Portal,"Biennial update reports BUR,National communications NC,International consultations and analysis ICA,Means of implementation,Mitigation"
9f7ef3e1654b4c1fe19eb0bb0b8055d3,Barbados. National Communication (NC). NC 2.,"National communications (NC), Mitigation",National communications (NC),Barbados. National Communication (NC). NC 2.,,,English,/documents/183387,https://unfccc.int/sites/default/files/resource/Barbados%20SNC%20FINAL%20April%202018.pdf,not validated,,Barbados,,,,UNFCCC Information Portal,"National communications NC,Mitigation"
b3dfefa000c9a88ca8887da29ee71b31,Sweden. Biennial report (BR). BR 4,Emission reduction targets,Biennial reports (BR),Sweden,,2019-12-19T12:00:00Z,English,/documents/204780,https://unfccc.int/sites/default/files/resource/Fourth%20Biennial%20report_%20Sweden.pdf,not validated,,Sweden,,,,UNFCCC Information Portal,Emission reduction targets
916896fa30a45a87ec7e614ca1e0d45f,Luxembourg. Biennial report (BR). BR 4,Emission reduction targets,Biennial reports (BR),Luxembourg,,2020-11-23T12:00:00Z,English,/documents/266587,https://unfccc.int/sites/default/files/resource/BR4_LUX_Final_201123.pdf,not validated,,Luxembourg,,,,UNFCCC Information Portal,Emission reduction targets
aa823e8e617343268872c140548fac23,Facilitative sharing of views record - Ecuador,"Transparency framework, Means of implementation, Mitigation",Facilitative sharing of views reports (FSVR),UNFCCC,,2018-06-06T12:00:00Z,English,/documents/142909,https://unfccc.int/sites/default/files/resource/FSV_record_ECU_final.pdf,not validated,,,,,,UNFCCC Information Portal,"Transparency framework,Means of implementation,Mitigation"
2dffbb3464b2726786c444257a669d76,Slovenia. Biennial report (BR). BR 4,Emission reduction targets,Biennial reports (BR),Slovenia,,2020-04-16T12:00:00Z,English,/documents/225908,https://unfccc.int/sites/default/files/resource/4BR_2020_EN_SLOVENIA.pdf,not validated,,Slovenia,,,,UNFCCC Information Portal,Emission reduction targets
7e8f9d98826fe02e4be412af771c913e,Uruguay. Biennial update report (BUR).  BUR 4.,Mitigation actions and commitments,Biennial update reports (BUR),Uruguay,,2022-01-04T12:00:00Z,Spanish,/documents/419773,https://unfccc.int/sites/default/files/resource/20211231%20URUGUAY%20BUR4%20ESP.pdf,not validated,,Uruguay,,,,UNFCCC Information Portal,Mitigation actions and commitments
712c9a679d23d0895067f9f901e38abd,African Group Submission for the Second Technical Dialogue of the Global Stocktake,"Equity, Loss and damage, Adaptation, Means of implementation, Capacity-building, Climate finance, Technology, Science and research, Global stocktake, Response measures, Mitigation",Submissions to the Global Stocktake,African Group Submission for the Second Technical Dialogue of the Global Stocktake,,2022-11-30T12:00:00Z,English,/documents/624504,https://unfccc.int/sites/default/files/resource/202211072228---AGN%20Submission%20on%20GST%20.pdf,not validated,,,,,,UNFCCC Information Portal,"Equity,Loss and damage,Adaptation,Means of implementation,Capacitybuilding,Climate finance,Technology,Science and research,Global stocktake,Response measures,Mitigation"
bd2ffaf30d56f25b9cab7be6d274616b,Mexico. Biennial update report (BUR) BUR 3.,Mexico. Biennial update report (BUR) BUR 3.,"National communications (NC), Biennial update reports (BUR)",Mexico,,2022-07-04T12:00:00Z,Spanish,/documents/512231,https://unfccc.int/sites/default/files/resource/Mexico_3er_BUR.pdf,not validated,,Mexico,,,,UNFCCC Information Portal,"National communications NC,Biennial update reports BUR,Mitigation"
