document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.non-party.1740.0,a9378e14ed3261670bb9de279a01ba6c__2cd3d23b69118a4a6e9ebed12a5248a15f6a1205eb8efde70ba91b7661bb4487,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon dioxide removal,16,38,"A. Conventional carbon dioxide removal (GtCO2/yr), proposed levels compared to three Paris-relevant scenarios in 2030 and 2050",1.0,explorer
UNFCCC.non-party.1740.0,ac23cb8e3170e02c02efc45331bfbf2c__a9581932b1a13112f626cc35d24cc9e5ba1bccf16955ebbf96c20d5052567ac8,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon removals,100,115,"level in 2020,-2
GtCO₂/yr
19
++
-5
countries' pledges, 2.6
focus on
renewables
-5.3
- 2030
focus on
carbon removals
focus on
demand reduction
-3.5
Closing the gap between proposed
levels of carbon dioxide removals
and what is needed to meet the
Paris temperature goal requires
scaling up conventional carbon
dioxide removal on land
focus on
renewables
-6.7
2050
focus on
carbon removals
-6.3
focus on
demand reduction
-4.7
long-term strategies, 23",1.0,explorer
UNFCCC.non-party.1740.0,ac23cb8e3170e02c02efc45331bfbf2c__a9581932b1a13112f626cc35d24cc9e5ba1bccf16955ebbf96c20d5052567ac8,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon removals,371,386,"level in 2020,-2
GtCO₂/yr
19
++
-5
countries' pledges, 2.6
focus on
renewables
-5.3
- 2030
focus on
carbon removals
focus on
demand reduction
-3.5
Closing the gap between proposed
levels of carbon dioxide removals
and what is needed to meet the
Paris temperature goal requires
scaling up conventional carbon
dioxide removal on land
focus on
renewables
-6.7
2050
focus on
carbon removals
-6.3
focus on
demand reduction
-4.7
long-term strategies, 23",1.0,explorer
UNFCCC.non-party.1740.0,b5b175a275d81f7afd55941a9bd770c9__f6020aa4b6dc48dde81381c99e70e13a615a373c93d1029154e00c508c44309f,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon dioxide removal,42,64,"There is a gap between proposed levels of carbon dioxide removal and what is needed to meet the
I",1.0,explorer
UNFCCC.non-party.1740.0,53bf44e109f45af8a55d3b42aeb4b512__018a5fcaf41f1ded5df739caa975c170a8d3879cfb53f395216e7961100e62cf,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,BECCS,88,93,"Virtually all scenarios that limit warming to 1.5°C or 2°C require ""novel"" CDR, such as BECCS,
biochar, DACCS, and enhanced rock weathering.",1.0,explorer
UNFCCC.non-party.1740.0,4a02746698e2367210c5b005e96e6c2f__bd2854b1da3c7b4f72dbd4fd156e7f23d82d769ee46755f20dc48d9c58f03a40,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon removals,331,346,"level in 2020,0
GICOa/yr
-4
-5
-7
countries' pledges, O
focus on
renewables
-0.1
2030
focus on
carbon removals
-0.9
focus on
demand reduction
0
A few scenarios involve no novel
carbon dioxide removal, but
require even more aggressive
emissions reductions which we
are not on track to achieve
focus on
renewables
-0.9
2050
focus on
carbon removals
-3.4
focus on
demand reduction
0",1.0,explorer
UNFCCC.non-party.1740.0,4a02746698e2367210c5b005e96e6c2f__bd2854b1da3c7b4f72dbd4fd156e7f23d82d769ee46755f20dc48d9c58f03a40,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon removals,95,110,"level in 2020,0
GICOa/yr
-4
-5
-7
countries' pledges, O
focus on
renewables
-0.1
2030
focus on
carbon removals
-0.9
focus on
demand reduction
0
A few scenarios involve no novel
carbon dioxide removal, but
require even more aggressive
emissions reductions which we
are not on track to achieve
focus on
renewables
-0.9
2050
focus on
carbon removals
-3.4
focus on
demand reduction
0",1.0,explorer
UNFCCC.non-party.1740.0,4a02746698e2367210c5b005e96e6c2f__bd2854b1da3c7b4f72dbd4fd156e7f23d82d769ee46755f20dc48d9c58f03a40,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon dioxide removal,177,199,"level in 2020,0
GICOa/yr
-4
-5
-7
countries' pledges, O
focus on
renewables
-0.1
2030
focus on
carbon removals
-0.9
focus on
demand reduction
0
A few scenarios involve no novel
carbon dioxide removal, but
require even more aggressive
emissions reductions which we
are not on track to achieve
focus on
renewables
-0.9
2050
focus on
carbon removals
-3.4
focus on
demand reduction
0",1.0,explorer
UNFCCC.non-party.1740.0,490612a066f348a9b24decae261b6fa4__27107474300bcde4533b9edbf9135fa3c53718e218c5a178862573bcb6fa6f34,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,13,35,The State of Carbon Dioxide Removal,1.0,explorer
UNFCCC.non-party.1740.0,8ef9c5a2ad34d0394e9f767b934e1954__bc7f242e7aeb6c64dc5a0f79ef2406cd7a9c21b1d439d0aee2d531065d93fd3c,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,BECCS,561,566,"Discussion of CDR on the social media
platform Twitter is growing fast, with a trend towards more positive sentiment for all CDR
methods except BECCS.",1.0,explorer
UNFCCC.non-party.1740.0,9914ba63e13f7a7d73ea664b7de729cb__4baeb9a8b1c5752d9bfe86fb0a1ef5b1ff8b42e04eb32c16db6a0e6b4e14bef3,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon sequestration,212,232,"Most focus on land-based biological CDR
methods such as biochar and soil carbon sequestration.",1.0,explorer
UNFCCC.non-party.1740.0,490612a066f348a9b24decae261b6fa4__27107474300bcde4533b9edbf9135fa3c53718e218c5a178862573bcb6fa6f34,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,13,35,The State of Carbon Dioxide Removal,1.0,explorer
UNFCCC.non-party.1740.0,490612a066f348a9b24decae261b6fa4__27107474300bcde4533b9edbf9135fa3c53718e218c5a178862573bcb6fa6f34,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,13,35,The State of Carbon Dioxide Removal,1.0,explorer
UNFCCC.non-party.1740.0,c53961c68ef5511b636a28e86485ee92__4529ee637a6411d7a75734db7677f1a62bf7b6879a1991d79d7fe29e2bb8e7ed,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,432,454,"While such efforts to reduce emissions prevent further CO₂ and other greenhouse gases (GHGs) from going into the atmosphere, Carbon Dioxide Removal (CDR) involves taking CO₂ out of the atmosphere that is already there.",1.0,explorer
UNFCCC.non-party.1740.0,5f1dd61f5391107a54db827525404808__9aaa18e60e8292ae4053588b1673567770111a219706540086a488fc06fd4e63,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,4,26,"1.1 Carbon Dioxide Removal in the context of
climate goals",1.0,explorer
UNFCCC.non-party.1740.0,d0a901cadf9ea4af45515ed506cede87__e3f3db69e7e936a1900c57e66ee7368803415e5e98aaf562f4bbf798170b18f6,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,94,116,This report is the first independent scientific assessment tracking the global development of Carbon Dioxide Removal (CDR).,1.0,explorer
UNFCCC.non-party.1740.0,490612a066f348a9b24decae261b6fa4__27107474300bcde4533b9edbf9135fa3c53718e218c5a178862573bcb6fa6f34,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,13,35,The State of Carbon Dioxide Removal,1.0,explorer
UNFCCC.non-party.1740.0,15e07d2d29426989f2a264b9de9b586a__ca873b7b252615c78304e7e2f974c55c52ea78e269329b2c5034f97a9d3e3f0b,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon removal,263,277,"Consequently, information about CDR is increasing, including academic assessments³5, introductory books67, data on CDR startups, purchases of carbon removal credits®, recommendations from business groups and briefings from NGOs¹0.",1.0,explorer
UNFCCC.non-party.1740.0,490612a066f348a9b24decae261b6fa4__27107474300bcde4533b9edbf9135fa3c53718e218c5a178862573bcb6fa6f34,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,13,35,The State of Carbon Dioxide Removal,1.0,explorer
UNFCCC.non-party.1740.0,dd6958c02f0ef83839ed13f77a59921a__78ca1a312d2a4332f59a1200f02f0e787eb8b6bc648b0764861b4cdee2df4297,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,152,155,"It is important to distinguish CDR from other related terms and concepts, such as Carbon Capture and Utilisation (CCU), and Carbon Capture and Storage (CCS).",1.0,explorer
UNFCCC.non-party.1740.0,dd6958c02f0ef83839ed13f77a59921a__78ca1a312d2a4332f59a1200f02f0e787eb8b6bc648b0764861b4cdee2df4297,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Capture,124,138,"It is important to distinguish CDR from other related terms and concepts, such as Carbon Capture and Utilisation (CCU), and Carbon Capture and Storage (CCS).",1.0,explorer
UNFCCC.non-party.1740.0,dd6958c02f0ef83839ed13f77a59921a__78ca1a312d2a4332f59a1200f02f0e787eb8b6bc648b0764861b4cdee2df4297,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCU,114,117,"It is important to distinguish CDR from other related terms and concepts, such as Carbon Capture and Utilisation (CCU), and Carbon Capture and Storage (CCS).",1.0,explorer
UNFCCC.non-party.1740.0,dd6958c02f0ef83839ed13f77a59921a__78ca1a312d2a4332f59a1200f02f0e787eb8b6bc648b0764861b4cdee2df4297,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Capture,82,96,"It is important to distinguish CDR from other related terms and concepts, such as Carbon Capture and Utilisation (CCU), and Carbon Capture and Storage (CCS).",1.0,explorer
UNFCCC.non-party.1740.0,490612a066f348a9b24decae261b6fa4__27107474300bcde4533b9edbf9135fa3c53718e218c5a178862573bcb6fa6f34,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,13,35,The State of Carbon Dioxide Removal,1.0,explorer
UNFCCC.non-party.1740.0,bff5940c097598c17a50d112996c6351__13067f40006d7067b782f9310e2f1d2fe8ff12603b40b5bc7b69de5bcb7a35a4,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,24,27,"Box 1.2 Differentiating CCS, CCU and CDR",1.0,explorer
UNFCCC.non-party.1740.0,bff5940c097598c17a50d112996c6351__13067f40006d7067b782f9310e2f1d2fe8ff12603b40b5bc7b69de5bcb7a35a4,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCU,29,32,"Box 1.2 Differentiating CCS, CCU and CDR",1.0,explorer
UNFCCC.non-party.1740.0,e17ce834d5520dfbed7c464a8c77afd1__abf7b1d3b797a33b82635edb005c4d6e2e9bca6e57a7dade7ba86bb1d3091c9d,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,28,31,"Carbon Capture and Storage (CCS) is a set of industrial methods for the chemical capture of CO₂, concentration of this into a pure stream and its subsequent geological storage.",1.0,explorer
UNFCCC.non-party.1740.0,e17ce834d5520dfbed7c464a8c77afd1__abf7b1d3b797a33b82635edb005c4d6e2e9bca6e57a7dade7ba86bb1d3091c9d,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,702,705,"In this assessment we refer to ""fossil CCS"", where necessary, to distinguish this from CCS as a component of CDR methods.",1.0,explorer
UNFCCC.non-party.1740.0,e17ce834d5520dfbed7c464a8c77afd1__abf7b1d3b797a33b82635edb005c4d6e2e9bca6e57a7dade7ba86bb1d3091c9d,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,654,657,"In this assessment we refer to ""fossil CCS"", where necessary, to distinguish this from CCS as a component of CDR methods.",1.0,explorer
UNFCCC.non-party.1740.0,e17ce834d5520dfbed7c464a8c77afd1__abf7b1d3b797a33b82635edb005c4d6e2e9bca6e57a7dade7ba86bb1d3091c9d,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,372,375,"Indeed, the term CCS is sometimes reserved only for these applications.",1.0,explorer
UNFCCC.non-party.1740.0,e17ce834d5520dfbed7c464a8c77afd1__abf7b1d3b797a33b82635edb005c4d6e2e9bca6e57a7dade7ba86bb1d3091c9d,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,427,430,"CCS can, however, be applied to CO₂ streams generated using biomass or directly from the air, in which cases the overall process meets both Principle 1 and Principle 2, and counts as CDR.",1.0,explorer
UNFCCC.non-party.1740.0,e17ce834d5520dfbed7c464a8c77afd1__abf7b1d3b797a33b82635edb005c4d6e2e9bca6e57a7dade7ba86bb1d3091c9d,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Capture,0,14,"Carbon Capture and Storage (CCS) is a set of industrial methods for the chemical capture of CO₂, concentration of this into a pure stream and its subsequent geological storage.",1.0,explorer
UNFCCC.non-party.1740.0,ae9e5cf41571a2a44bd128a2e1d1aea2__6031acfc24fba158a690a7267264efb119ee9d1c6005529a7346175fd59b6dfc,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCU,32,35,Carbon Capture and Utilisation (CCU) is a set of industrial methods for the chemical capture of CO₂ and its conversion into products.,1.0,explorer
UNFCCC.non-party.1740.0,ae9e5cf41571a2a44bd128a2e1d1aea2__6031acfc24fba158a690a7267264efb119ee9d1c6005529a7346175fd59b6dfc,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Capture,0,14,Carbon Capture and Utilisation (CCU) is a set of industrial methods for the chemical capture of CO₂ and its conversion into products.,1.0,explorer
UNFCCC.non-party.1740.0,812840abc2f6760f5747cd7d49ebb60e__786c7bb37784dbb9bdc86a17c5388bb6f0670e338f2762ecbfecb733859415af,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,168,171,Not all CCS and CCU methods involve CO₂ removal from the atmosphere or lead to durable storage.,1.0,explorer
UNFCCC.non-party.1740.0,812840abc2f6760f5747cd7d49ebb60e__786c7bb37784dbb9bdc86a17c5388bb6f0670e338f2762ecbfecb733859415af,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCU,176,179,Not all CCS and CCU methods involve CO₂ removal from the atmosphere or lead to durable storage.,1.0,explorer
